,0,1,2
356,historicapolitica/fabriciusorationes.xml,"Frankfurt am Main, Leipzig", 1685
357,historicapolitica/fabriciusorationes_1.xml,"Frankfurt am Main, Leipzig", 1685
358,historicapolitica/fabriciusorationes_10.xml,"Frankfurt am Main, Leipzig", 1685
359,historicapolitica/fabriciusorationes_11.xml,"Frankfurt am Main, Leipzig", 1685
360,historicapolitica/fabriciusorationes_12.xml,"Frankfurt am Main, Leipzig", 1685
361,historicapolitica/fabriciusorationes_2.xml,"Frankfurt am Main, Leipzig", 1685
362,historicapolitica/fabriciusorationes_3.xml,"Frankfurt am Main, Leipzig", 1685
363,historicapolitica/fabriciusorationes_4.xml,"Frankfurt am Main, Leipzig", 1685
364,historicapolitica/fabriciusorationes_5.xml,"Frankfurt am Main, Leipzig", 1685
365,historicapolitica/fabriciusorationes_6.xml,"Frankfurt am Main, Leipzig", 1685
366,historicapolitica/fabriciusorationes_7.xml,"Frankfurt am Main, Leipzig", 1685
367,historicapolitica/fabriciusorationes_9.xml,"Frankfurt am Main, Leipzig", 1685
368,historicapolitica/fabriciusorationes_front.xml,"Frankfurt am Main, Leipzig", 1685
369,historicapolitica/Forstner_centuria.xml,Straßburg, 1623.
370,historicapolitica/Forstner_epistolae.xml,Montbéliard, 1670.
371,historicapolitica/Forstner_notae_1.xml,Straßburg, 1628
372,historicapolitica/Forstner_notae_1_idx.xml,Straßburg, 1628
373,historicapolitica/Forstner_notae_2.xml,Frankfurt [Main], 1662.
374,historicapolitica/Forstner_notae_3.xml,Frankfurt [Main], 1661.
375,historicapolitica/Forstner_notae_omissae.xml,Straßburg, 1631.
376,historicapolitica/Foxius-Morzillus_de_institutione.xml,Helenopolis [i.e. Frankfurt/Main], 1609.
377,historicapolitica/Foxius-Morzillus_de_institutione_index.xml,Helenopolis [i.e. Frankfurt/Main], 1609.
378,historicapolitica/Freher_origines_1.xml,[Heidelberg], 1613.
379,historicapolitica/fritschadvocatus_1.xml,Breslau, 1678. 
